Frame Number,Caption
8260,a large elephant standing in the water
8270,a large elephant standing in the water
8280,a large elephant standing next to a small body of water
8290,a large elephant standing in the water
8300,a large elephant standing next to a body of water
8310,a large elephant standing in the water
8320,a large elephant standing in the water
8330,a large elephant standing in the water
8340,a large elephant standing in the water
8350,a large elephant standing in the water
8360,a large elephant standing in a body of water
8370,a large elephant standing in a body of water
8380,a train track with rocks and grass on it
8390,a train track with rocks and grass on it
8400,a train track with rocks and grass on it
8410,a train track with rocks and grass on it
8420,a train track with rocks and grass on it
8430,a man is walking on the tracks
8440,a person is walking on the tracks
8450,a person walking on train tracks
8460,a person walking on train tracks
8470,a person walking on train tracks
8480,a person walking on a train track
8490,a person walking on train tracks
8500,a person walking on a train track
8510,a person walking on a train track
8520,a person walking on a train track
8530,a person walking on a train track
8540,a person walking on a train track
8550,a person walking on a train track
8560,a man is running on a train track
8570,a person walking on a train track
8580,a man is walking on a train track
8590,a person is running on a train track
8600,two people walking on train tracks
8610,a man is walking on a train track
8620,two people walking on train tracks
8630,a group of people walking on train tracks
8640,a group of people walking on train tracks
8650,two people are walking on a train track
8660,a man is walking on a train track
8670,two people walking on train tracks
8680,a car is seen on the side of a highway
8690,a car is seen on the side of a highway
8700,a car is seen on the side of a highway
8710,a car is seen on the side of a highway
8720,a car is seen on the side of a highway
8730,a car is seen on the side of a highway
8740,a car is seen on the side of a highway
8750,a truck is seen on the side of a highway
8760,a truck is seen on the side of a highway
8770,a truck is seen on the side of a highway
8780,a train is seen on the side of a highway
8790,a car is seen on the side of a highway
8800,a car is seen on the side of a highway in this aerial image
8810,a car is seen on the highway near the intersection of interstate and interstate
8820,a car is seen on the highway near the intersection of interstate and interstate
8830,a car is seen on the highway near the intersection of interstate and interstate
8840,a car is seen on the side of a highway
8850,a car is seen on the side of a highway in this aerial image
8860,a car is seen on the side of a highway in this aerial image
8870,a car is seen on the side of a highway in this aerial image
8880,a car is seen on the side of a highway
8890,a highway with cars driving down it
8900,a crash on the i - 95 near the intersection of interstate and i - 95
8910,a highway with cars driving down it
8920,a highway with cars driving on it
8930,a crash on the i - 95 near the intersection of interstate and i - 95
8940,a crash on the bruce highway in the state of queensland
8950,"a highway with cars on it and a sign that says,'i don't '"
8960,a highway with cars driving down it
8970,a crash on the i - 95 near the intersection of interstate and interstate
8980,a highway with cars driving down it
8990,a crash on the i - 95 near the intersection of highway 101 and interstate
9000,a crash on the bruce highway in the state of tennessee
9010,a highway with cars driving down it
9020,a car is seen on the side of a highway
9030,a car is seen on the side of a highway
9040,a car is seen on the side of a highway in this aerial image
9050,a car is seen on the side of a highway
9060,a car is seen on the side of a highway
9070,a group of horses standing in a fence
9080,a horse is standing in a fenced area
9090,a brown horse standing behind a fence
9100,a brown horse standing in a pen
9110,a brown horse standing in a pen
9120,a brown horse standing in a pen
9130,a horse standing in a pen
9140,a horse standing in a fenced area
9150,a horse standing in a pen
9160,a horse is standing in a pen
9170,two horses are standing in a pen
9180,two horses are standing in a pen
9190,two horses are standing in a pen
9200,two horses standing in a pen
9210,two horses are standing in a pen
9220,two horses standing in a pen
9230,two horses are standing in a pen
9240,two horses are standing in a pen
9250,two horses are standing in a pen
9260,two horses are standing in a pen
9270,two horses are standing in a pen
9280,two horses are standing in a pen
9290,two horses are standing in a pen
9300,two horses are standing in a pen
9310,two horses are standing in a pen
9320,two horses are standing in a pen
9330,a man is leading a horse to a stable
9340,a man in a red shirt is leading a group of horses
9350,a man in a red shirt is leading a group of horses
9360,a man in a red shirt is leading a group of horses
9370,a man is standing next to a horse
9380,a man in a red shirt is leading two horses
9390,a man in a red shirt is leading a horse
9400,a man is leading two horses in a pen
9410,a man is walking with two horses in a barn
9420,a man walking a horse in a barn
9430,a man is standing next to a horse
9440,a man is walking a horse in a field
9450,a man is walking with two horses in the grass
9460,a man is leading a horse to a stable
9470,a man in a cowboy hat is leading two horses
9480,a man walking a horse in a pen
9490,a man is walking a horse in a pen
9500,a man walking a horse in a pen
9510,a horse is walking around in a pen
9520,a man is standing next to a horse
9530,a man is walking a horse through a fence
9540,a man is standing next to a horse
9550,a horse is standing in a pen
9560,a horse is standing in the dirt
9570,a horse is standing in a pen
9580,a horse is standing in the dirt
9590,a horse is standing in a pen with a man
9600,a man is standing next to a horse
9610,a man is walking behind a fence with a horse
9620,a man is standing next to a horse
9630,a man is standing on a metal fence
9640,a man is standing on a metal rail
9650,a man is working on a metal pipe
9660,a man is working on a metal fence
9670,a horse is standing in the dirt
9680,a horse is standing in a pen with a man
9690,a man is standing next to a horse
9700,a man is standing next to a horse
9710,a man is standing next to a horse
9720,a man is standing next to a horse
9730,a horse is standing in a pen with a man
9740,a horse is standing in a pen with a man
9750,a horse is standing behind a fence
9760,a horse is standing behind a fence
9770,a horse is standing behind a fence
9780,a horse is standing behind a fence
9790,a horse is standing behind a fence
9800,a horse is standing behind a fence
9810,a horse is standing behind a fence
9820,a man is working on a metal fence
9830,a horse is standing in the dirt
9840,a woman walking down the street with an umbrella
9850,a woman walking down the street with an umbrella
9860,a woman walking down the street with a man
9870,a woman walking down the street with a man
9880,a woman walking down the street with a man
9890,a woman walking down the street with a man
9900,a woman walking down the street with a man
9910,a man and woman walking down the street
9920,a man and woman walking down the street
9930,two men walking down the street in a city
9940,two men walking down the street in a city
9950,two men walking down the street in a city
9960,a man in a shirt and jeans walking down the street
9970,a man walking down the street in a city
9980,a man walking down the street with a woman
9990,a man walking down the street with a cell
10000,a man in a shirt and jeans walking down the street
10010,a man in a white shirt and blue jeans walking down the street
10020,a man walking down the street with a woman
10030,a man in a white shirt and blue jeans
10040,a man in a white shirt and blue jeans
10050,a man and woman walking down a street
10060,a man and woman walking down the street
10070,a woman in a white shirt and shorts walking down the street
10080,a woman in a white shirt and shorts walking down the street
10090,a woman walking down the street in a city
10100,a woman in a white tank top and blue shorts is walking down the street
10110,a woman walking down the street in a city
10120,a woman walking down the street in a white tank top
10130,a woman walking down the street in a city
10140,a woman walking down the street with a yellow bag
10150,a woman walking down the street in a white tank top
10160,a woman walking down the street in a city
10170,a woman walking down the street with a yellow bag
10180,a woman walking down the street with a yellow bag
10190,a woman walking down the street with a yellow bag
10200,a woman walking down the street in a white dress
10210,a woman walking down the street with a cell
10220,a woman walking down the street in a white dress
10230,a woman walking down the street with an umbrella
10240,a woman walking down the street with an umbrella
10250,a woman walking down the street with an umbrella
10260,a small elephant walking in the water
10270,a small elephant walking through a body of water
10280,two elephants walking in the water near a bush
10290,two elephants are walking in the water
10300,two elephants are walking in the water near bushes
10310,two elephants are walking in the water near bushes
10320,two elephants walking in the water near some bushes
10330,two elephants walking in water
10340,two elephants walking in the water near a bush
10350,two elephants are walking in the water near a bush
10360,two elephants are walking in the water near a bush
10370,two elephants are walking in the water
10380,two elephants walking in water
10390,two elephants walking in water
10400,two elephants are walking in the water
10410,two elephants are walking in the water
10420,two elephants are standing in the water
10430,two elephants in the water
10440,two elephants are standing in the water near a tree
10450,two elephants in the water
10460,two elephants in the water
10470,two elephants are standing in the water
10480,two elephants standing in water
10490,two elephants standing in water
10500,two elephants are walking in the water
10510,two elephants in the water
10520,two elephants standing in water
10530,two elephants standing in water
10540,two elephants walking in the water
10550,two elephants are standing in the water
10560,two elephants are standing in the water near a bush
10570,two elephants are standing in the water
10580,two elephants standing in water
10590,two elephants walking in water
10600,two elephants are walking in the water
10610,two elephants walking in the water
10620,two elephants walking in the water
10630,two elephants walking in the water
10640,two elephants are walking in the water
10650,two elephants walking in the water
10660,two elephants walking in the water
10670,two elephants walking in the water
10680,two elephants walking in the water
10690,two elephants walking in the water
10700,two elephants walking in the water
10710,two elephants walking in the water
10720,two elephants walking in the water
10730,two elephants walking in the water
10740,a small elephant standing in a body of water
10750,a large elephant walking across a small body of water
10760,a small elephant standing in a body of water
10770,a large elephant walking across a small body of water
10780,a small elephant walking across a body of water
10790,a large elephant walking across a body of water
10800,a small elephant walking across a body of water
10810,a large elephant walking across a body of water
10820,a large elephant walking across a body of water
10830,a large elephant walking across a body of water
10840,a woman in a pink bra top and black shorts
10850,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10860,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10870,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10880,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10890,a woman in a black top and black pants is doing a handstant
10900,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10910,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10920,a woman doing a yoga pose on a mat
10930,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10940,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10950,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10960,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10970,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10980,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
10990,a woman in a pink bra top and black shorts
11000,a woman in a pink bra top and black pants
11010,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11020,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11030,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11040,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11050,a woman in a pink bra top is doing a plank plank
11060,a woman in a pink top is doing a yoga pose
11070,a woman in a pink bra top is doing a handstant
11080,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11090,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11100,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11110,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11120,a woman in a pink bra bra top is doing a yoga pose
11130,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11140,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11150,a woman in a pink bra bra top is doing a handstant
11160,a woman in a pink top is doing a yoga pose
11170,a woman in a black top is doing a yoga pose
11180,a woman in a pink bra top is doing a push
11190,a woman in a pink bra top doing a push
11200,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11210,a woman in a pink bra top is doing a push
11220,a woman in a pink bra top is doing a push
11230,a woman in a pink bra bra top doing a push
11240,a man in a pink shirt is doing a squat
11250,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11260,a woman in a pink bra top is doing a push
11270,a woman in a pink bra bra top doing a push
11280,a woman in a pink bra top is doing a push
11290,a woman in a pink bra bra top doing a push
11300,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11310,a woman in a pink bra bra bra bra bra bra bra bra bra bra bra bra bra bra
11320,a woman in a pink bra top doing push up
11330,a woman in a pink bra top doing push up
11340,watch and share alec h giw gi gi giw giw giw giw giw
11350,a man in a suit and tie is talking to someone
11360,a man in a suit sitting down and talking
11370,a man in a suit and tie is talking to someone
11380,a man in a suit and tie is talking to someone
11390,a man in a suit and tie is talking to someone
11400,watch and share gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi gi
11410,a man in a suit and tie is talking to someone
11420,a man in a suit and tie is standing in front of a wall
11430,a man in a suit and tie standing in a room
11440,a man in a suit and tie standing next to a woman
11450,watch and share the first episode of < andromus
11460,a woman in a black sweater is standing next to a man
11470,watch and share the first episode of < andromus
11480,a woman in a brown sweater and a man in a gray suit
11490,a woman in a brown sweater and a man in a gray suit
11500,a man and woman are standing in a room
11510,a man and woman are standing in a room
11520,a man and woman are standing in front of a window
11530,a man and woman are standing in front of a window
11540,a man and woman standing next to each other people
11550,a man and woman are looking at something
11560,a man and woman standing next to each other people
11570,a woman in a brown sweater and a man in a gray suit
11580,a woman in a brown sweater is looking at her phone
11590,a woman in a brown sweater is looking at her cell
11600,a woman in a brown sweater is looking at her cell
11610,a woman in a brown sweater is looking at her cell
11620,a woman in a brown sweater is standing in front of a window
11630,a woman in a brown sweater is standing in front of a window
11640,a woman standing next to a little girl
11650,a woman and a young girl are standing in a room
11660,a woman and a young girl are looking at something
11670,a woman and a young girl are looking at a cell
11680,a young girl is sitting in front of a woman
11690,a young girl is sitting in front of a man
11700,a young girl is sitting in front of a woman
11710,a young girl is sitting in front of a man
11720,a young girl is sitting in front of a man
11730,a woman in a gym room with a red shirt
11740,a woman in a red top and black shorts
11750,a woman in a red top and black shorts is doing dumb curls
11760,a woman in a red sports bra top and black shorts
11770,a woman in a red sports bra top and black shorts
11780,a woman in a red sports bra top is doing dumb curls
11790,a woman in a red sports bra top is holding a dumb dumb
11800,a woman in a red sports bra top and shorts
11810,a woman in a red sports bra top is standing in a gym
11820,a woman in a red sports bra top is flexing her muscles
11830,a woman in a red sports bra top is doing a dumb
11840,a woman in a red sports bra top is doing a workout
11850,a woman in a red sports bra top is standing in front of a mirror
11860,a woman in a red top is doing a dumb
11870,a woman in a red top is doing a dumb
11880,a woman in a red top is standing in a gym
11890,a woman in a red top is standing in front of a mirror
11900,a woman in a red top is doing a dumb
11910,a woman in a red tank top is standing in front of a mirror
11920,a woman in a red top is standing in a gym
11930,a woman in a red top is doing a dumb
11940,a woman in a red top is doing a dumb
11950,a woman in a red top is standing in front of a mirror
11960,a woman in a red top is doing a dumb
11970,a woman in a red top is doing a dumb
11980,a woman in a red top is standing in a gym
11990,a woman in a red tank top is standing in a gym
12000,a woman in a red top is holding a red dumb
12010,a woman in a red top is doing a dumb
12020,a woman in a red top is standing in a bathroom
12030,a woman in a red top is standing in front of a mirror
12040,a woman in a red top is doing a dumb
12050,a woman in a red top is standing in front of a mirror
12060,a woman in a red top is standing in front of a mirror
12070,a woman in a red top is standing in front of a mirror
12080,a woman in a red top is holding a dumb
12090,a group of horses running in a field
12100,a group of horses walking across a field
12110,a group of horses are walking in a field
12120,a group of horses are standing in a field
12130,a group of horses running in a field
12140,a group of horses walking across a field
12150,a group of horses are walking in a field
12160,a group of horses running in a field
12170,a group of horses running in a field
12180,a group of horses running in a field
12190,a group of horses walking across a field
12200,a group of horses running in a field
12210,a group of horses running in a field
12220,a group of horses running in a field
12230,a group of horses running in a field
12240,a group of horses running in a field
12250,a group of horses are walking in a field
12260,a group of horses are standing in a field
12270,a group of horses are walking in a field
12280,a group of horses running in a field
12290,a group of horses running in a field
12300,a group of horses are running in a field
12310,a group of horses running in a field
12320,a group of horses are walking in a field
12330,a group of horses running in a field
12340,a group of horses
12350,a group of horses running in a field
12360,a group of horses are running in a field
12370,a group of horses are walking through a field
12380,a group of horses are walking through a field
12390,a group of people riding horses in a field
12400,a group of horses are running in a field
12410,a group of horses running in a field
12420,a group of horses running in a field
12430,a group of horses are running in a field
12440,a group of horses running in a field
12450,a group of horses running in a field
12460,a group of horses running in a field
12470,a group of horses running in a field
12480,a group of horses running in a field
12490,a man in a suit and tie is standing in front of a black background
12500,a full moon in the night sky
12510,a red ball in the dark
12520,a close up of a christmas tree with lights
12530,a bunch of apples on a black background
12540,a bunch of apples hanging from a tree
12550,a bunch of apples are being blown by a blow
12560,a green apple is sitting on a black surface
12570,a bunch of apples on a black background
12580,a bunch of apples falling into a black background
12590,apple falling into water stock footage
12600,a green apple is splashing into a black surface
12610,a green apple is being splashed with water
12620,a green apple is being dropped into a black surface
12630,apple in water with splash
12640,apple in water stock footage
12650,two apples are splashing in the water
12660,apple in water stock footage
12670,apple in water stock footage
12680,apple in water stock footage
12690,apple in water stock footage
12700,apple in water stock footage
12710,a group of apples are in the water
12720,apple in water stock footage
12730,apple in water stock footage
12740,apple in water with reflection
12750,apple in water stock footage
12760,a couple of apples are in the water
12770,apple in water stock footage
12780,a group of apples are in the water
12790,a group of apples are splashing in water
12800,apple falling into water
12810,apple falling into water stock footage
12820,a group of apples are being splashed in water
12830,a group of apples are being dropped in water
12840,apple in water stock footage
12850,two apples are being dropped in water
12860,apple in water stock footage
12870,two apples are being dropped into water
12880,two apples are in the water with water droplets
12890,two apples are in the water with a black background
12900,three apples are being dropped in water
12910,two apples are being dropped into water
12920,two apples are being dropped in water
12930,two apples are being dropped into water
12940,two apples are being splashed with water
12950,two apples are splashing in the water
12960,two apples are splashing in the water
12970,three apples are being dropped in water
12980,three apples are being dropped in water
12990,apples falling into water in slow motion
13000,two apples are splashing in the water
13010,two apples are being splashed in water
13020,two apples are splashing in the water
13030,three apples are splashing in the water
13040,two apples are being washed in water
13050,two apples are being splashed with water
13060,three apples are being dipped with ice
13070,three apples are being splashed with water
13080,three apples are being washed in water
13090,three apples are being soaked in water
13100,a bunch of apples falling into a black background
13110,a bunch of apples are being dropped in a puddle
13120,three apples are sitting on a black surface
13130,a bunch of apples falling into water
13140,a whale swimming in the ocean
13150,a whale swimming in the ocean
13160,a whale swimming in the ocean
13170,a whale swimming in the ocean
13180,a whale swimming in the ocean
13190,a whale swimming in the ocean
13200,a whale swimming in the ocean
13210,a whale swimming in the ocean
13220,a whale is swimming in the water
13230,a whale is swimming in the water
13240,a whale is swimming in the water
13250,a whale is seen in the water near a beach
13260,a large wave is seen in the ocean
13270,a whale is seen in this und - toned video
13280,a large whale is swimming in the ocean
13290,a large black cloud is seen in this image
13300,a large fish swimming in the ocean
13310,a whale is swimming in the ocean
13320,a whale is swimming in the ocean
13330,a large boat in the water
13340,a man is swimming in the water
13350,a whale is swimming in the ocean
13360,a shark is seen in this und - toned video
13370,a whale is seen in this und - toned video
13380,a dolphin swimming in a pool with a man in the background
13390,a large blue ocean
13400,a large white whale is swimming in the ocean
13410,a plane flying in the sky over a beach
13420,a person is flying in the air
13430,a large white shark swimming in the ocean
13440,a whale swimming in the ocean
13450,a whale is swimming in the ocean
13460,a large rock in the water
13470,a large body of water
13480,a large body of water
13490,a large body of water
13500,a plane flying over a lake with a mountain in the background
13510,a man is standing on a cliff with a surfboard
13520,a large brown bear standing on top of a rock
13530,a large brown bear standing in the water
13540,a video of a plane flying over a body of water
13550,a large rock in the ocean
13560,a large rock in the ocean
13570,a large rock in the ocean
13580,a large shark is swimming in the ocean
13590,a large body of water
13600,a large body of water
13610,a large body of water
13620,a whale is swimming in the ocean
13630,a blue ocean with a white star in the middle
13640,a large blue ocean
13650,a large white shark swimming in the ocean
13660,a large white whale
13670,a large white whale swimming in the ocean
13680,a large white whale swimming in the ocean
13690,a shark swimming in the ocean
13700,a large whale is swimming in the ocean
13710,a whale is swimming in the ocean
13720,a whale is swimming in the ocean
13730,a whale is swimming in the water
13740,a whale swimming in the ocean
13750,a whale is swimming in the ocean
13760,a shark swimming in the ocean
13770,a shark swimming in the ocean
13780,a shark swimming in the ocean
13790,a shark swimming in the ocean
13800,a shark swimming in the ocean
13810,a shark is swimming in the ocean
13820,a shark is swimming in the water
13830,a shark swimming in the ocean
13840,a man swimming in the ocean
13850,a shark and a man in the water
13860,a shark swimming in the ocean
13870,a man is holding a fish in the water
13880,a shark swimming in the ocean
13890,a shark swimming in the ocean
13900,a shark swimming in the ocean
13910,a pile of dirt sitting on top of a pile of dirt
13920,a large pile of rocks on a beach
13930,a man is standing on top of a large rock
13940,a large rock
13950,a man is standing on a rock with a camera
13960,a seal is seen in this und video
13970,a large rock with a small bird on it
13980,a large rock with a small rock in the middle
13990,a large rock with a large rock in the middle
14000,a large rock in the middle of a desert
14010,a man is standing on a rock in the desert
14020,a man is standing on a rock in the desert
14030,a man is standing on a rock in the sand
14040,a man is standing on a rock near the ocean
14050,a man is standing on a rock near the ocean
14060,a man is standing on a large rock
14070,a large rock on the beach
14080,a man is standing on the beach next to some rocks
14090,a beach with large rocks and palm trees
14100,a beach with rocks and palm trees
14110,a beach with rocks and palm trees
14120,a beach with rocks and palm trees
14130,a beach with rocks and palm trees
14140,a beach with rocks and palm trees
14150,a beach with rocks and palm trees
14160,a beach with rocks and palm trees
14170,a beach with rocks and palm trees
14180,a beach with rocks and palm trees
14190,a beach with rocks and palm trees
14200,a beach with rocks and palm trees
14210,a beach with rocks and people walking on it
14220,a beach with rocks and palm trees
14230,a beach with rocks and palm trees
14240,a beach with rocks and palm trees
14250,a beach with rocks and palm trees
14260,a beach with large rocks and people walking on it
14270,a beach with large rocks and people walking on it
14280,a beach with large rocks and palm trees
14290,a group of people walking around a large rock
14300,a group of people walking on a beach
14310,a group of people walking on a beach
14320,a group of people walking on a beach
14330,a group of people walking down a beach
14340,a group of people walking down a beach
14350,a man in a red shirt and a woman in a yellow shirt
14360,a group of people standing around a large elephant
14370,a group of people walking down a beach
14380,a group of people walking on a beach
14390,a group of people walking on a beach
14400,a group of people walking on a beach
